type,microsite,url,sale,rent,datetime,agent_url
0,False,Countrywide Residential Development North West,0,0,2020-01-29 21:45:21.911921,https://www.rightmove.co.uk/estate-agents/agent/Countrywide-Residential-Development/North-West-218996.html
1,False,The Dolce Vita Rickmansworth,100,0,2020-01-29 21:45:21.945830,https://www.rightmove.co.uk/overseas-property/estate-agents/The-Dolce-Vita/Rickmansworth-218948.html
0,False,ALTAMIRA RESTAURANTE LTD Maidenhead,1,0,2020-01-29 21:45:22.028609,https://www.rightmove.co.uk/estate-agents/agent/ALTAMIRA-RESTAURANTE-LTD/Maidenhead-218954.html
1,False,Realteam Volos,0,0,2020-01-29 21:45:22.118369,https://www.rightmove.co.uk/overseas-property/estate-agents/Realteam/Volos-218939.html
0,False,Roe & Co Residential Sales Bolton,3,0,2020-01-29 21:45:22.170230,https://www.rightmove.co.uk/estate-agents/agent/Roe-and-Co-Residential-Sales/Bolton-218936.html
1,False,Private Seller Colin Daniel,1,0,2020-01-29 21:45:22.199153,https://www.rightmove.co.uk/overseas-property/estate-agents/Private-Seller/Colin-Daniel-218933.html
0,False,Lincoln Miles Estates Newcastle Upon Tyne,24,19,2020-01-29 21:45:22.231068,https://www.rightmove.co.uk/estate-agents/agent/Lincoln-Miles-Estates/Newcastle-Upon-Tyne-218981.html
0,True,Kingsley Wood Estate Agents Bridge of Weir - Lettings,0,10,2020-01-29 21:45:22.297889,https://www.rightmove.co.uk/estate-agents/agent/Kingsley-Wood-Estate-Agents/Bridge-of-Weir---Lettings-218945.html
1,False,Paradise Inmo Santa Eulalia del Rio,35,0,2020-01-29 21:45:22.829468,https://www.rightmove.co.uk/overseas-property/estate-agents/Paradise-Inmo/Santa-Eulalia-del-Rio-218909.html
0,False,Harriet George Kingsbridge,3,0,2020-01-29 21:45:23.115703,https://www.rightmove.co.uk/estate-agents/agent/Harriet-George/Kingsbridge-218873.html
0,False,Barnhill Investments Limited London,0,6,2020-01-29 21:45:23.207457,https://www.rightmove.co.uk/estate-agents/agent/Barnhill-Investments-Limited/London-218870.html
0,False,Paul Newman Sturmanster,1,0,2020-01-29 21:45:23.391964,https://www.rightmove.co.uk/estate-agents/agent/Paul-Newman/Sturmanster-218861.html
0,True,Leaders Sales Altrincham,2,0,2020-01-29 21:45:23.571485,https://www.rightmove.co.uk/estate-agents/agent/Leaders-Sales/Altrincham-218846.html
0,False,Thomas James Estate Agents Shirebrook,12,0,2020-01-29 21:45:23.661244,https://www.rightmove.co.uk/estate-agents/agent/Thomas-James-Estate-Agents/Shirebrook-218891.html
1,False,Private Seller Nic Antony,1,0,2020-01-29 21:45:23.795888,https://www.rightmove.co.uk/overseas-property/estate-agents/Private-Seller/Nic-Antony-218765.html
0,False,Uni Lets Reading,0,73,2020-01-29 21:45:23.972416,https://www.rightmove.co.uk/estate-agents/agent/Uni-Lets/Reading-218768.html
2,False,Nadel London,0,1,2020-01-29 21:45:24.049212,https://www.rightmove.co.uk/estate-agents/agent/Nadel/London-218759.html
0,False,David Britton Estates Cockermouth,23,0,2020-01-29 21:45:24.084118,https://www.rightmove.co.uk/estate-agents/agent/David-Britton-Estates/Cockermouth-218849.html
0,False,British Homesellers National,412,0,2020-01-29 21:45:24.265634,https://www.rightmove.co.uk/estate-agents/agent/British-Homesellers/National-103727.html
0,False,Blueline Homes Ltd Blueline Homes Ltd,1,0,2020-01-29 21:45:24.298545,https://www.rightmove.co.uk/estate-agents/agent/Blueline-Homes-Ltd/Blueline-Homes-Ltd-218774.html
0,False,Joanna Tiley Estate Agents Chew Stoke,1,0,2020-01-29 21:45:24.340433,https://www.rightmove.co.uk/estate-agents/agent/Joanna-Tiley-Estate-Agents/Chew-Stoke-218855.html
1,False,Sol Casas Algarve Devon,0,0,2020-01-29 21:45:24.367361,https://www.rightmove.co.uk/overseas-property/estate-agents/Sol-Casas-Algarve/Devon-218753.html
1,False,Private Seller Kevin Morgan,1,0,2020-01-29 21:45:24.539899,https://www.rightmove.co.uk/overseas-property/estate-agents/Private-Seller/Kevin-Morgan-218744.html
2,False,Men United Limited Reading,0,1,2020-01-29 21:45:24.668556,https://www.rightmove.co.uk/estate-agents/agent/Men-United-Limited/Reading-218738.html
1,False,Private Seller La Gattuta Giuseppe,1,0,2020-01-29 21:45:24.899937,https://www.rightmove.co.uk/overseas-property/estate-agents/Private-Seller/La-Gattuta-Giuseppe-218732.html
1,False,Private Seller Marion Gillich,0,0,2020-01-29 21:45:25.036572,https://www.rightmove.co.uk/overseas-property/estate-agents/Private-Seller/Marion-Gillich-218726.html
1,False,Private Seller T J Bousfield,1,0,2020-01-29 21:45:25.281916,https://www.rightmove.co.uk/overseas-property/estate-agents/Private-Seller/T-J-Bousfield-218720.html
1,False,Private Seller Mr & Mrs Fenton 4,1,0,2020-01-29 21:45:25.353725,https://www.rightmove.co.uk/overseas-property/estate-agents/Private-Seller/Mr-and-Mrs-Fenton-4-218717.html
0,False,Meller Braggins Macclesfield,0,4,2020-01-29 21:45:25.452460,https://www.rightmove.co.uk/estate-agents/agent/Meller-Braggins/Macclesfield-218708.html
0,False,Meller Braggins Northwich,0,7,2020-01-29 21:45:25.555219,https://www.rightmove.co.uk/estate-agents/agent/Meller-Braggins/Northwich-218711.html
0,True,Readings Property Services Elm Park - Lettings,0,11,2020-01-29 21:45:25.778632,https://www.rightmove.co.uk/estate-agents/agent/Readings-Property-Services/Elm-Park---Lettings-218762.html
1,False,Private Seller Fiona Jefferis,1,0,2020-01-29 21:45:25.914293,https://www.rightmove.co.uk/overseas-property/estate-agents/Private-Seller/Fiona-Jefferis-218675.html
1,False,Spain2you Malaga,199,0,2020-01-29 21:45:25.981115,https://www.rightmove.co.uk/overseas-property/estate-agents/Spain2you/Malaga-218678.html
1,False,Private Seller JA,1,0,2020-01-29 21:45:26.378068,https://www.rightmove.co.uk/overseas-property/estate-agents/Private-Seller/JA-218660.html
1,False,Private Seller Martyn Lister,0,0,2020-01-29 21:45:26.674276,https://www.rightmove.co.uk/overseas-property/estate-agents/Private-Seller/Martyn-Lister-218741.html
0,False,MPH Lettings Aylsham,0,10,2020-01-29 21:45:26.722148,https://www.rightmove.co.uk/estate-agents/agent/MPH-Lettings/Aylsham-218639.html
1,False,Private Seller Marc,1,0,2020-01-29 21:45:26.756057,https://www.rightmove.co.uk/overseas-property/estate-agents/Private-Seller/Marc-218636.html
0,False,Woodward Estate Agents Ripley,5,0,2020-01-29 21:45:26.818890,https://www.rightmove.co.uk/estate-agents/agent/Woodward-Estate-Agents/Ripley-218672.html
0,False,Fine & Country Richmond,0,2,2020-01-29 21:45:26.901668,https://www.rightmove.co.uk/estate-agents/agent/Fine-and-Country/Richmond-218669.html
1,False,Private Seller Evelyn Magee,1,0,2020-01-29 21:45:27.048276,https://www.rightmove.co.uk/overseas-property/estate-agents/Private-Seller/Evelyn-Magee-218633.html
1,False,Private Seller John Fenwick,1,0,2020-01-29 21:45:27.099141,https://www.rightmove.co.uk/overseas-property/estate-agents/Private-Seller/John-Fenwick-218630.html
0,False,Meller Braggins Macclesfield,31,0,2020-01-29 21:45:27.314564,https://www.rightmove.co.uk/estate-agents/agent/Meller-Braggins/Macclesfield-218618.html
0,True,Auction House Cumbria Carlisle,27,0,2020-01-29 21:45:27.368421,https://www.rightmove.co.uk/estate-agents/agent/Auction-House-Cumbria/Carlisle-218627.html
0,False,Meller Braggins Stockton Heath,47,0,2020-01-29 21:45:27.516026,https://www.rightmove.co.uk/estate-agents/agent/Meller-Braggins/Stockton-Heath-218624.html
0,False,Meller Braggins Northwich,47,0,2020-01-29 21:45:27.560906,https://www.rightmove.co.uk/estate-agents/agent/Meller-Braggins/Northwich-218621.html
0,False,Meller Braggins Stockton Heath,0,8,2020-01-29 21:45:27.587835,https://www.rightmove.co.uk/estate-agents/agent/Meller-Braggins/Stockton-Heath-218714.html
